name,estimated_owners,required_age,About the game,language_support,Windows,Mac,Linux,metacritic_category,Metacritic score,Genres,price,price_category,release_year
🔴 Circles,0 - 20000,0,"Circles is a unique, intuitive puzzle game where everything responds to your mouse. It presents itself without any text and asks you to experiment. By simply moving the cursor, you’ll uncover the unde","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Portuguese - Brazil', 'Bulgarian', 'Traditional Chinese', 'Simplified Chinese', 'Danish', 'Finnish', 'Greek', 'Hungarian', 'Japanese', 'Korean', 'Dutch', 'Norwegian', 'Ukrainian', 'Polish', 'Portuguese - Portugal', 'Romanian', 'Russian', 'Thai', 'Czech', 'Turkish', 'Swedish']",True,True,False,Good (76-85),76,"Casual,Indie",0.0,Free,2017
Franchise Hockey Manager 3,0 - 20000,0,"Franchise Hockey Manager 3 is the deepest, most authentic hockey strategy experience you can find. For the first time, the game is officially licensed by the NHL®, allowing you to take the reins of yo",['English'],True,True,False,Average (61-75),64,"Indie,Simulation,Sports,Strategy",19.99,5-20,2016
REZ PLZ,0 - 20000,0,"Human Sacrifices, Very Poor Magic and More! Join apprentice wizard brothers Arcan and Zeph as they fight the forces of Dark Arcanum armed with little more than the Resurrection Scroll, a tool they can","['English', 'French', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America']",True,False,False,Average (61-75),75,"Action,Adventure,Indie",2.99,0-5,2020
Trailblazers,0 - 20000,0,"Welcome to the Trailblaze Tournament! Get ready for high-speed thrills with an explosion of colour in Trailblazers, the first-ever second-to-second co-operative arcade racer. Paint the track as you go","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil']",True,True,True,Average (61-75),69,"Action,Casual,Indie,Racing,Sports",1.49,0-5,2018
Simon the Sorcerer Origins,0 - 20000,0,"A New Journey Begins! Thirty years after his first appearance on the screen, Simon is drawn into a foreign world by an ancient prophecy that will reveal his origins. This world is populated by powerfu","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Polish']",True,True,True,Good (76-85),76,Adventure,19.99,5-20,2025
Indygo,0 - 20000,0,Indygo is a narrative game with point ‘n’ click elements set in one room only – a painting workshop. Indygo tells the story of a painter who suffers from depression. One of the symptoms is proceeding ,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Russian']",True,False,False,Average (61-75),70,"Adventure,Indie",0.0,Free,2017
Waking,0 - 20000,0,"Locked in the darkness of a coma, you dream. In the recesses of your mind, voices call you home, beckoning you towards the light and the void beyond. But it is not your time. Not yet. Waking is a uniq",['English'],True,False,False,Low (1-60),44,"Action,Indie",3.99,0-5,2020
Floppy Knights,0 - 20000,0,"Hello there, humans. It is me, Carlton! Phoebe’s most trusted friend and super cool robot arm. I am here to tell you just a little bit more about Phoebe and her latest invention: Floppy Knights! Who i","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese']",True,True,False,Good (76-85),83,"Indie,Strategy",3.99,0-5,2022
Hexodius,0 - 20000,0,"EXPLORE-EQUIP-ESCAPE! With its potent blend of twin-stick shooting, exploration and customization, HEXODIUS invites players to explore the vast complex, equip their drone with powerful items and upgra","['English', 'German', 'French', 'Russian', 'Polish', 'Portuguese - Brazil']",True,False,False,Low (1-60),47,"Action,Indie",1.49,0-5,2013
RKGK / Rakugaki,0 - 20000,0,"The city is your canvas. Join the rebellious Valah and her RKGK crew to free the neo-brutalist Cap City from evil B Corp’s control. Collect secret treasures, find hidden paths, and light up the cold a","['English', 'Spanish - Latin America', 'French', 'Italian', 'German', 'Portuguese - Brazil', 'Simplified Chinese', 'Japanese']",True,False,False,Good (76-85),76,"Action,Adventure,Indie",7.99,5-20,2024
